id,sku,price
5.68E+13,KD30685,0.85
5.68E+13,KD30686,0.85
5.68E+13,KD30687,0.85
5.68E+13,KD30688,0.85
5.68E+13,KD31155,0.89
5.68E+13,KD32196,0.85
5.68E+13,KD24800,0.89
5.68E+13,KD24802,0.89
5.68E+13,KD03872,0.75
5.68E+13,KD03904,0.72
5.68E+13,KD03873,0.65
5.68E+13,KD03900,0.72
5.68E+13,KD03879,0.65
5.68E+13,KD03884,0.65
5.68E+13,KD03874,0.72
5.68E+13,KD03883,0.65
5.68E+13,KD03878,0.65
5.68E+13,KD03876,0.65
5.68E+13,KD03881,0.65
5.68E+13,KD03886,0.65
5.68E+13,KD03887,0.75
5.68E+13,KD03907,0.72
5.68E+13,KD03905,0.72
5.68E+13,KD03909,0.75
5.68E+13,KD03899,0.72
5.68E+13,KD03885,0.65
5.68E+13,KD03908,0.72
5.68E+13,KD03875,0.73
5.68E+13,KD03911,0.72
5.68E+13,KD03882,0.65
5.68E+13,KD03891,0.79
5.68E+13,KD03890,0.79
5.68E+13,KD03889,0.79
